-4.875	0
-4.625	0
-4.375	0
-4.125	0
-3.875	0
-3.625	0
-3.375	0
-3.125	0
-2.875	0
-2.625	0
-2.375	0
-2.125	0
-1.875	0
-1.625	0
-1.375	0
-1.125	0
-0.875	0
-0.625	0
-0.375	0
-0.125	0
0.125	0
0.375	0
0.625	0
0.875	0
1.125	0
1.375	0
1.625	0
1.875	0
2.125	0
2.375	0
2.625	0
2.875	0
3.125	0
3.375	0
3.625	0
3.875	1
4.125	1
4.375	1
4.625	2
4.875	1
5.125	1
5.375	2
5.625	6
5.875	6
6.125	11
6.375	10
6.625	12
6.875	10
7.125	15
7.375	21
7.625	28
7.875	16
8.125	35
8.375	41
8.625	43
8.875	46
9.125	67
9.375	81
9.625	81
9.875	104
10.125	117
10.375	132
10.625	167
10.875	160
11.125	174
11.375	249
11.625	274
11.875	324
12.125	389
12.375	429
12.625	467
12.875	652
13.125	629
13.375	693
13.625	875
13.875	973
14.125	978
14.375	1153
14.625	1311
14.875	1278
15.125	1582
15.375	1639
15.625	1749
15.875	2042
16.125	2283
16.375	2446
16.625	2775
16.875	3088
17.125	3057
17.375	3504
17.625	3650
17.875	3840
18.125	4187
18.375	4530
18.625	4647
18.875	4821
19.125	5312
19.375	5219
19.625	5862
19.875	6241
20.125	6098
20.375	6838
20.625	7186
20.875	7061
21.125	7512
21.375	7940
21.625	7700
21.875	8113
22.125	8224
22.375	8059
22.625	8103
22.875	8444
23.125	8230
23.375	8165
23.625	8605
23.875	7925
24.125	8134
24.375	8048
24.625	7554
24.875	7558
25.125	7368
25.375	6922
25.625	6665
25.875	6326
26.125	5928
26.375	5582
26.625	5035
26.875	4782
27.125	4233
27.375	3930
27.625	3390
27.875	2992
28.125	2686
28.375	2181
28.625	1896
28.875	1616
29.125	1172
29.375	1041
29.625	834
29.875	568
30.125	426
30.375	350
30.625	217
30.875	147
31.125	91
31.375	71
31.625	46
31.875	30
32.125	20
32.375	6
32.625	5
32.875	4
33.125	1
33.375	3
33.625	0
33.875	0
34.125	0
34.375	0
34.625	0
34.875	0
35.125	0
35.375	0
35.625	0
35.875	0
36.125	0
36.375	0
36.625	0
36.875	0
37.125	0
37.375	0
37.625	0
37.875	0
38.125	0
38.375	0
38.625	0
38.875	0
39.125	0
39.375	0
39.625	0
39.875	0
40.125	0
40.375	0
40.625	0
40.875	0
41.125	0
41.375	0
41.625	0
41.875	0
42.125	0
42.375	0
42.625	0
42.875	0
43.125	0
43.375	0
43.625	0
43.875	0
44.125	0
44.375	0
44.625	0
44.875	0
45.125	0
45.375	0
45.625	0
45.875	0
46.125	0
46.375	0
46.625	0
46.875	0
47.125	0
47.375	0
47.625	0
47.875	0
48.125	0
48.375	0
48.625	0
48.875	0
49.125	0
49.375	0
49.625	0
49.875	0
50.125	0
